id,cluster
1,2
2,0
3,0
4,4
5,4
6,4
7,4
8,0
9,4
10,0
11,0
12,0
13,0
14,4
15,0
16,0
17,0
18,2
19,2
20,2
21,2
22,2
23,2
24,2
25,2
26,1
27,0
28,0
29,0
30,0
31,4
32,0
33,3
34,0
35,4
36,1
37,0
38,0
39,0
40,0
41,1
42,4
43,0
44,0
45,0
46,0
47,0
48,1
49,4
50,4
51,3
52,0
53,4
54,4
55,4
56,1
57,4
58,1
59,0
60,2
61,2
62,4
63,1
64,1
65,1
66,4
67,3
68,1
69,1
70,0
71,1
72,1
73,1
74,0
75,2
76,0
77,2
78,0
79,2
80,2
81,2
82,4
83,4
84,4
85,3
86,3
87,2
88,2
89,2
90,2
91,0
92,0
93,4
94,4
95,1
96,4
97,4
98,1
99,0
100,0
101,0
102,1
103,1
104,4
105,4
106,4
107,3
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,1
117,4
118,0
119,0
120,4
121,0
122,1
123,0
124,1
125,0
126,0
127,0
128,0
129,3
130,4
131,4
132,0
133,0
134,4
135,0
136,0
137,0
138,1
139,1
140,0
141,3
142,0
143,4
144,1
145,0
146,0
147,4
148,2
149,0
150,3
151,1
152,1
153,3
154,3
155,0
156,0
157,0
158,0
159,4
160,4
161,4
162,0
163,0
164,0
165,0
166,4
167,1
168,0
169,1
170,1
171,2
172,2
173,2
174,2
175,2
176,2
177,1
178,1
179,4
180,4
181,0
182,0
183,0
184,4
185,1
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,2
196,4
197,3
198,0
199,0
200,2
201,2
202,2
203,2
204,4
205,0
206,0
207,4
208,4
209,4
210,4
211,4
212,3
213,0
214,0
215,0
216,4
217,4
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,2
227,0
228,0
229,0
230,4
231,0
232,4
233,0
234,0
235,0
236,0
237,1
238,1
239,1
240,0
241,0
242,0
243,0
244,0
245,4
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,2
261,0
262,0
263,4
264,4
265,2
266,2
267,3
268,3
269,2
270,2
271,0
272,0
273,0
274,3
275,3
276,1
277,2
278,0
279,0
280,4
281,4
282,4
283,0
284,0
285,0
286,1
287,0
288,1
289,1
290,0
291,0
292,0
293,4
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,3
303,0
304,0
305,0
306,0
307,0
308,4
309,4
310,0
311,0
312,0
313,0
314,0
315,1
316,0
317,0
318,0
319,1
320,0
321,4
322,1
323,0
324,0
325,0
326,0
327,3
328,0
329,0
330,0
331,4
332,1
333,1
334,1
335,1
336,1
337,0
338,2
339,2
340,2
341,2
342,4
343,0
344,0
345,0
346,0
347,1
348,4
349,4
350,0
351,3
352,3
353,4
354,4
355,3
356,0
357,0
358,0
359,2
360,2
361,2
362,0
363,0
364,4
365,0
366,1
367,3
368,4
369,0
370,0
371,1
372,1
373,1
374,4
375,0
376,0
377,1
378,4
379,4
380,4
381,4
382,3
383,2
384,4
385,2
386,3
387,3
388,0
389,4
390,0
391,0
392,0
393,4
394,4
395,0
396,1
397,1
398,0
399,0
400,0
401,0
402,0
403,4
404,0
405,4
406,2
407,2
408,0
409,0
410,0
411,0
412,4
413,2
414,4
415,3
416,4
417,4
418,2
419,4
420,0
421,4
422,0
423,1
424,3
425,0
426,0
427,0
428,0
429,0
430,4
431,4
432,1
433,1
434,0
435,0
436,4
437,4
438,4
439,4
440,2
441,2
442,2
443,2
444,0
445,4
446,2
447,1
448,1
449,0
450,4
451,0
452,0
453,0
454,0
455,3
456,4
457,2
458,4
459,4
460,4
461,4
462,0
463,0
464,4
465,0
466,0
467,1
468,3
469,4
470,1
471,1
472,4
473,4
474,4
475,4
476,1
477,4
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,4
487,2
488,2
489,1
490,1
491,1
492,1
493,1
494,2
495,2
496,2
497,2
498,3
499,0
500,0
